,MCF7,HEPG2,HT29,A375,PC3,YAPC,A549,HCC515
TSPAN6,3.056583528366368,5.7073591320808825,4.399854673572432,3.844988156682612,5.303780748177103,5.649328040984784,5.176322772640464,5.4950555283680185
TNMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DPM1,7.354910511586791,6.912290583351108,6.718361626138353,7.346425085585596,6.239932613485237,6.6748278321868,6.310521900369323,6.408372203572678
SCYL3,2.558267634055736,1.411426245726465,2.7845039829295666,2.7676547982373463,1.5008020530571575,3.085764553778314,2.0179219079972617,2.7634115744700067
C1orf112,3.1731274334806563,2.883620816285672,3.468583317006828,4.466627120041501,3.5777309314900805,3.790772037862,4.058316495590823,3.62993940943954
FGR,0.01435529297707,0.01435529297707,0.01435529297707,0.0,0.0,0.2265085298086797,0.0,0.01435529297707
CFH,0.0426443374084937,0.0565835283663675,4.081510068120917,0.2868811477881615,1.584962500721156,3.878725341480105,3.7729413378313352,6.444766440833076
FUCA2,6.642123916153487,6.559032867745183,5.35508676166836,4.104336659814735,5.690975738343276,6.167518503735218,5.9354597478052895,5.823494624712857
GCLC,5.021479727410452,5.369815424283912,5.100977647724822,3.915520900751959,4.511594541537413,5.101818134227409,6.777682717073553,4.272769732436512
NFYA,4.484138131201669,4.094236069845765,4.324810603420484,3.4905701304462013,4.319762427669248,6.203592714207707,3.7430840555495855,3.658782734012828
STPG1,1.4646682670034443,1.2750070474998698,2.7845039829295666,2.994579724215748,2.673556423990145,2.833902076669163,2.4462562298895643,2.0461417816447205
NIPAL3,2.6803243568440163,2.2387868595871168,4.390942772802543,5.54936113292434,4.502075956045791,3.8747969658986654,2.411426245726465,2.1076878693143737
LAS1L,5.246027980528104,4.4329594072761065,5.805034439854537,5.301587646603187,5.624978179569036,5.2757520488285286,6.122672718824139,5.540399305630625
ENPP4,2.2600256559614555,0.0840642647884745,2.277984747299765,1.2326607567902748,2.2600256559614555,3.7676547982373454,0.8073549220576041,3.300123724569014
SEMA3F,4.492494151679432,3.6656201640663815,3.0789513413948217,1.3561438102252754,5.3995129241829645,1.5945485495503542,1.584962500721156,0.6415460290875237
CFTR,0.01435529297707,0.0426443374084937,5.5855634984556914,0.01435529297707,0.01435529297707,0.0426443374084937,0.0285691521967709,0.0565835283663675
ANKIB1,4.512858954449976,3.1391420191456887,4.611172380044005,4.424922088210688,4.279471295644468,5.0,4.339137384919585,4.405311682597445
CYP51A1,5.8750428030025885,6.0074197835719145,5.754353071692128,5.360715425392931,5.3501436020177975,6.077670274232753,5.780047576061869,5.946496941203293
KRIT1,4.720278465233327,3.810443103845176,4.583158003874408,4.843481425432457,4.1626934322112366,5.11603199344711,4.798050514767515,4.724104519866845
RAD52,3.1521834190550453,2.5084286525318573,2.773996325111173,2.6937657122177834,2.8155754288625725,2.6415460290875235,3.140778655782796,3.661065479806948
BAD,5.921959917326168,4.257010618206024,5.680886920719693,5.4168397419128285,6.73321874260246,6.6651937727404205,5.733625498408233,5.135042286233651
LAP3,5.648465443027314,6.15825622881134,6.053111336459563,6.120808102298621,4.846493315964564,6.395405604566331,5.132165525478087,5.555816155061639
CD99,7.094763891547365,8.034798962577268,2.7527485914071343,3.899175630480513,7.256633295059924,7.920888741649518,7.566510755857877,6.620586410451878
HS3ST1,0.01435529297707,0.0,2.8257856274647914,0.1763227726404629,0.6040713236688608,2.090853430451113,0.2630344058337938,0.0426443374084937
AOC1,0.6599245584023783,0.01435529297707,3.5521311082537834,0.0426443374084937,0.0426443374084937,5.070389327891399,0.01435529297707,0.0
WNT16,0.0426443374084937,0.01435529297707,0.1110313123887439,0.1763227726404629,0.0426443374084937,0.2868811477881615,0.0426443374084937,0.0565835283663675
HECW1,0.0,0.070389327891398,0.0,2.077242998932461,1.280956313831056,0.0426443374084937,2.8439838440483265,0.1890338243900171
MAD1L1,4.268284666520996,4.2861418728343015,3.8268026842858265,3.636914580355878,3.7147950111181625,4.495695162624068,3.6678921252302334,3.8519988371124474
LASP1,5.515069014032239,6.468909092110591,7.607108343591332,5.8843537068479845,5.801676029253588,8.17896356624825,7.619779800583105,6.435461914479276
SNX11,4.94766615679601,3.320484678017693,4.143230134776894,3.3088850574117634,3.6982184782244136,4.309612772454123,4.55704241526372,3.680324356844016
TMEM176A,0.0,0.0285691521967709,0.4222330006830478,0.0,0.0,4.867402305727543,0.137503523749935,0.0
M6PR,5.990954860396992,5.616769366293503,5.8011586560936985,6.466463983834974,5.77899700616954,6.039577103060679,6.980025300238733,6.597233189086131
KLHL13,1.111031312388744,0.3448284969974412,0.070389327891398,0.7311832415722002,1.655351828612554,0.3673710656485295,0.7570232465074596,1.5897634869849773
CYP26B1,1.144046369616707,0.0426443374084937,0.2016338611696504,0.4646682670034443,1.2570106182060237,0.3334237337251918,3.040892430646901,2.978195629681652
ICA1,4.67072705449947,0.137503523749935,5.398487190018967,3.916476644437717,2.1538053360790355,4.8494989317201815,0.5160151470036647,4.36387192485753
DBNDD1,5.76155123244448,4.8364291311616485,3.2063306478710496,4.56498780095989,3.2854022188622483,4.988230223060457,4.820689560559215,4.012568673503056
ALS2,3.6881803585869264,3.4462562298895643,3.168321115739723,2.724650271732968,3.1602748314085933,3.454175893185801,3.745237332129749,3.4828482830684653
CASP10,0.2630344058337938,2.8678964639926545,1.74416109557041,1.4276061727818994,0.4646682670034443,2.2600256559614555,1.8875252707415875,0.9781956296816516
CFLAR,4.575312330687437,5.22650852980868,4.592756010441026,3.371558862611963,3.689299160535892,5.296824458649369,6.3215673760354045,6.177519202597813
TFPI,6.893726236597222,8.115927989190793,6.150762744355418,2.3978029618624896,3.5655971758542253,4.648465443027313,5.030336078370959,6.659781879764979
NDUFAF7,3.4154882710497003,3.824767853143294,3.993674361750585,4.397118409042582,3.1127001327493624,3.6848187375532224,4.513490745588118,3.326249700837456
RBM5,5.639521599510831,5.466953337123929,5.553667688483063,4.4581194811745055,6.444932048942182,5.990954860396992,5.042644337408494,6.305240965954482
MTMR7,1.0426443374084935,0.2509615735332188,0.1505596765753814,0.2265085298086797,0.3219280948873623,0.5260688116675876,0.8559896973084807,0.4114262457264651
SLC7A2,7.097505455818016,4.396433531250992,1.2016338611696504,2.488000770834069,1.1634987322828796,0.8953026213333066,1.3161457422933562,2.6644828403646823
ARF5,7.824831485078066,6.57334422759282,7.687760584070347,7.341985747228616,7.115511897172365,7.61772457453495,6.357552004618085,6.999661828718796
SARM1,2.8155754288625725,0.632268215499513,2.286881147788161,2.9818526532897405,1.5260688116675876,2.350497247084133,1.3045110418099528,1.7907720378619998
POLDIP2,6.231509210867047,6.007195501404205,5.918147673876828,6.294620748891628,5.327328082629952,5.906890595608518,6.726013748860152,6.679198570566922
